YEAR,LOC,BRAND,NAME,YIELD,TW,MOIST,HEAD,HT
1983,FNI,,,49.55,56.5,,144,39
1983,FNI,,,35.39,58.35,,147,42
1983,FNI,,,45.74,58.4,,145,42
1983,FNI,,,47.73,57.6,,147,43.5
1983,FRD,,,66.69,59.5,,148,41
1983,FRD,,,54.6,61,,143.25,39.5
1983,FRD,,,55.47,58.5,,149,40.75
1983,FRD,,,59.18,57.75,,147,38.5
1983,FRD,,,56.4,56.75,,145.5,41
1983,FRD,,,59.33,57.5,,142.75,37.5
1983,FRD,,,47.83,59.25,,138,45
1983,FRD,,,65.54,58.5,,145,40
1983,FRD,,,50.97,60.25,,145,43
1983,FRD,,,52.58,59.25,,148.5,44.75
1983,FRD,,,52.37,58.5,,139,36
1983,FRD,,,64.07,57.75,,148,40.75
1983,FRD,,,49.33,58.85,,146.5,46.75
1983,FRD,,,48.71,59,,146.5,48.25
1983,FRD,,,53.78,58,,142.75,37.75
1983,FRD,,,57.34,58.25,,149,37.25
1983,FRD,,,51.22,57.75,,148,38.75
1983,FRD,,,47.37,58,,149.5,49.75
1983,FRD,,,70.87,59,,143,40.5
1983,FRD,,,53.49,59.25,,147,42
1983,FRD,,,63.7,58.25,,142.25,39.25
1983,FRD,,,58.68,59.25,,143,40.5
1983,FRD,,,59.42,57.25,,145,40.75
1983,FRD,,,56.15,58.57,,145.21,41.05
1983,FRD,,,56.68,58,,142.25,38.5
1983,FRD,,,48.14,59,,146.5,38.5
1983,GRD,,,57.75,60.75,,151,36.25
1983,GRD,,,59.02,62.25,,148.5,35
1983,GRD,,,60.72,60.25,,150.5,39.25
1983,GRD,,,54.55,61.75,,148.5,40.25
1983,GRD,,,52.57,63.25,,146,32.75
1983,GRD,,,63.07,61.5,,150.5,38
1983,GRD,,,58.57,62,,148.5,40.5
1983,GRD,,,61.85,62,,148,41.75
1983,GRD,,,59.87,62,,148,36.25
1983,GRD,,,60.4,63,,151.5,36
1983,GRD,,,49.75,60.25,,153.5,32
1983,GRD,,,59.52,61.75,,148,37.75
1983,GRD,,,55.55,61.25,,149.5,38.5
1983,GRD,,,59.12,61.5,,152.5,41
1983,GRD,,,56.45,59.75,,152,39.5
1983,GRD,,,59.5,61.5,,148.5,37.5
1983,GRD,,,54.1,61.25,,148,33.5
1983,GRD,,,63.27,61.75,,150,36.5
1983,GRD,,,58.08,61.59,,149.54,37.57
1983,GRD,,,57.22,62.25,,147.5,39.75
1983,GRD,,,62.87,62,,148,35.25
1983,GRD,,,55.45,61.25,,147,33
1983,GRD,,,52.47,61.75,,148,44.5
1983,GRD,,,58.67,61.75,,154,39.75
1983,GRD,,,57.5,61.5,,151,35
1983,GRD,,,62.15,61.5,,150,39.75
1983,GRI,,,50.52,57.5,,153,42.25
1983,GRI,,,62.22,57,,151.5,42.75
1983,GRI,,,64.85,58.25,,150.5,41.5
1983,GRI,,,57.82,58.25,,153.5,41.5
1983,GRI,,,50.17,56,,154.5,40.5
1983,GRI,,,47.5,57.5,,151,39.5
1983,GRI,,,54.42,53,,153.5,38.25
1983,GRI,,,57.45,53,,154.5,38
1983,GRI,,,56.05,56.93,,151.23,39.91
1983,GRI,,,62.8,57.5,,150.5,37.25
1983,GRI,,,45.62,57,,149.25,43.25
1983,GRI,,,66.87,56,,148.5,38
1983,GRI,,,60.97,55.5,,150,41.25
1983,GRI,,,44.85,56.25,,155,41
1983,GRI,,,55.87,57.75,,153.5,37.75
1983,GRI,,,60.22,58.5,,148.5,40.25
1983,GRI,,,53,57.5,,152.5,38.75
1983,GRI,,,63.05,57.5,,149.5,40
1983,GRI,,,48.77,57.75,,149.5,41.75
